Time,Value
1683756480000,0
1683756600000,0
1683756720000,0
1683756840000,0
1683756960000,0
1683757080000,0
1683757200000,0
1683757320000,0
1683757440000,0
1683757560000,0
1683757680000,0
1683757800000,0
1683757920000,0
1683758040000,0
1683758160000,0
1683758280000,0
1683758400000,0
1683758520000,0
1683758640000,0
1683758760000,0
1683758880000,0
1683759000000,0
1683759120000,0
1683759240000,0
1683759360000,0
1683759480000,0
1683759600000,0.406766
1683759720000,0.423788
1683759840000,0.41476
1683759960000,0.421664
1683760080000,0.428501
1683760200000,0.41441
1683760320000,0.422773
1683760440000,0.428057
1683760560000,0.427679
1683760680000,0.421484
1683760800000,0.424479
1683760920000,0.42215
1683761040000,0.420525
1683761160000,0.428574
1683761280000,0.421642
1683761400000,0.42259
1683761520000,0.419193
1683761640000,0.424737
1683761760000,0.419899
1683761880000,0.424824
1683762000000,0.419009
1683762120000,0.420952
1683762240000,0.422102
1683762360000,0.420889
1683762480000,0.401817
1683762600000,0.403327
1683762720000,0.374199
1683762840000,0.421444
1683762960000,0.40541
1683763080000,0.337457
1683763200000,0.420408
1683763320000,0.428126
1683763440000,0.262197
1683763560000,0.428878
1683763680000,0.420865
1683763800000,0.420915
1683763920000,0.421223
1683764040000,0.422631
1683764160000,0.42845
1683764280000,0.421524
1683764400000,0.419872
1683764520000,0.377576
1683764640000,0.387568
1683764760000,0.421721
1683764880000,0.423917
1683765000000,0.420926
1683765120000,0.421202
1683765240000,0.42473
1683765360000,0.420511
1683765480000,0.422612
1683765600000,0.394399
1683765720000,0.354476
1683765840000,0.418655
1683765960000,0.396671
1683766080000,0.424422
1683766200000,0.420349
1683766320000,0.418954
1683766440000,0.422747
1683766560000,0.420833
1683766680000,0.421196
1683766800000,0.424891
1683766920000,0.424094
1683767040000,0.415772
1683767160000,0.418922
1683767280000,0.422636
1683767400000,0.421477
1683767520000,0.423116
1683767640000,0.421687
1683767760000,0.421479
1683767880000,0.425104
1683768000000,0.424587
1683768120000,0.423047
1683768240000,0.421166
1683768360000,0.418018
1683768480000,0.422262
1683768600000,0.427178
1683768720000,0.425576
1683768840000,0.34569
1683768960000,0.420067
1683769080000,0.425424
1683769200000,0.420775
1683769320000,0.418957
1683769440000,0.247028
1683769560000,0.340551
1683769680000,0.313965
1683769800000,0.42563
1683769920000,0.357296
1683770040000,0.421782
1683770160000,0.424462
1683770280000,0.430416
1683770400000,0.417503
1683770520000,0.422348
1683770640000,0.421188
1683770760000,0.421552
1683770880000,0.211665
1683771000000,0.4209
1683771120000,0.421564
1683771240000,0.420179
1683771360000,0.316924
1683771480000,0.309545
1683771600000,0.421207
1683771720000,0.424619
1683771840000,0.42298
1683771960000,0.425278
1683772080000,0.422417
1683772200000,0.418195
1683772320000,0.429682
1683772440000,0.420593
1683772560000,0.422193
1683772680000,0.425368
1683772800000,0.421474
1683772920000,0.421474
1683773040000,0.423292
1683773160000,0.407341
1683773280000,0.419242
1683773400000,0.421513
1683773520000,0.026264
1683773640000,0.421933
1683773760000,0.420725
1683773880000,0.420224
1683774000000,0.419697
1683774120000,0.422368
1683774240000,0.402082
1683774360000,0.387094
1683774480000,0.39276
1683774600000,0.328516
1683774720000,0.384262
1683774840000,0.251691
1683774960000,0.096414
1683775080000,0.37009
1683775200000,0.37922
1683775320000,0.269637
1683775440000,0.392976
1683775560000,0.338901
1683775680000,0.383548
1683775800000,0.385181
1683775920000,0.385763
1683776040000,0.288072
1683776160000,0.216993
1683776280000,0.38781
1683776400000,0.393306
1683776520000,0.39637
1683776640000,0.393318
1683776760000,0.368039
1683776880000,0.395651
1683777000000,0.396915
1683777120000,0.395641
1683777240000,0.377194
1683777360000,0.371543
1683777480000,0.391885
1683777600000,0.393364
1683777720000,0.376464
1683777840000,0.355204
1683777960000,0.372726
1683778080000,0.385649
1683778200000,0.389476
1683778320000,0.336766
1683778440000,0.198504
1683778560000,0.290531
1683778680000,0.361277
1683778800000,0.298082
1683778920000,0.367463
1683779040000,0.392464
1683779160000,0.373032
1683779280000,0.392201
1683779400000,0.383803
1683779520000,0.360714
1683779640000,0.389907
1683779760000,0.375317
1683779880000,0.393114
1683780000000,0.231356
1683780120000,0.390823
1683780240000,0.390433
1683780360000,0.384462
1683780480000,0.389715
1683780600000,0.391596
1683780720000,0.384556
1683780840000,0.36755
1683780960000,0.385674
1683781080000,0.395104
1683781200000,0.384136
1683781320000,0.396148
1683781440000,0.397409
1683781560000,0.386158
1683781680000,0.389979
1683781800000,0.383994
1683781920000,0.287511
1683782040000,0.395563
1683782160000,0.390696
1683782280000,0.394693
1683782400000,0.393434
1683782520000,0.297875
1683782640000,0.20369
1683782760000,0.351632
1683782880000,0.387332
1683783000000,0.391331
1683783120000,0.37766
1683783240000,0.382705
1683783360000,0.382548
1683783480000,0.386442
1683783600000,0.395675
1683783720000,0.328572
1683783840000,0.392357
1683783960000,0.373287
1683784080000,0.33965
1683784200000,0.380278
1683784320000,0.392691
1683784440000,0.383531
1683784560000,0.387728
1683784680000,0.378343
1683784800000,0.393144
1683784920000,0.390995
1683785040000,0.38579
1683785160000,0.37903
1683785280000,0.396938
1683785400000,0.096825
1683785520000,0.386796
1683785640000,0.386183
1683785760000,0.395332
1683785880000,0.38653
1683786000000,0.384929
1683786120000,0.355486
1683786240000,0.34382
1683786360000,0.362359
1683786480000,0.378854
1683786600000,0.383159
1683786720000,0.39051
1683786840000,0.323497
1683786960000,0.366178
1683787080000,0.387355
1683787200000,0.392233
1683787320000,0.385705
1683787440000,0.388575
1683787560000,0.350483
1683787680000,0.390601
1683787800000,0.389436
1683787920000,0.38983
1683788040000,0.393273
1683788160000,0.384065
1683788280000,0.391473
1683788400000,0.3953
1683788520000,0.393997
1683788640000,0.383797
1683788760000,0.391137
1683788880000,0.396509
1683789000000,0.393817
1683789120000,0.394922
1683789240000,0.385236
1683789360000,0.383617
1683789480000,0.299937
1683789600000,0.390577
1683789720000,0.382102
1683789840000,0.370608
1683789960000,0.393885
1683790080000,0.383682
1683790200000,0.349037
1683790320000,0.394699
1683790440000,0.383576
1683790560000,0.38387
1683790680000,0.385868
1683790800000,0.390554
1683790920000,0.382095
1683791040000,0.243332
1683791160000,0.383914
1683791280000,0.385209
1683791400000,0.385099
1683791520000,0.390148
1683791640000,0.389316
1683791760000,0.389296
1683791880000,0.392084
1683792000000,0.393947
1683792120000,0.151851
1683792240000,0.39334
1683792360000,0.386137
1683792480000,0.39312
1683792600000,0.396982
1683792720000,0.385468
1683792840000,0.39035
1683792960000,0.39358
1683793080000,0.385744
1683793200000,0.297556
1683793320000,0.386549
1683793440000,0.384841
1683793560000,0.385668
1683793680000,0.393739
1683793800000,0.391875
1683793920000,0.386475
1683794040000,0.389283
1683794160000,0.386166
1683794280000,0.384407
1683794400000,0.390774
1683794520000,0
1683794640000,0
1683794760000,0
1683794880000,0
1683795000000,0
1683795120000,0
1683795240000,0
1683795360000,0
1683795480000,0
1683795600000,0
1683795720000,0
1683795840000,0
1683795960000,0
1683796080000,0
1683796200000,0
1683796320000,0
1683796440000,0
1683796560000,0
1683796680000,0
1683796800000,0
1683796920000,0
1683797040000,0
1683797160000,0
1683797280000,0
1683797400000,0
1683797520000,0
1683797640000,0
1683797760000,0
1683797880000,0
1683798000000,0
1683798120000,0
1683798240000,0
1683798360000,0
1683798480000,0
1683798600000,0
1683798720000,0
1683798840000,0
1683798960000,0
1683799080000,0
1683799200000,0
1683799320000,0
1683799440000,0
1683799560000,0
1683799680000,0
1683799800000,0
1683799920000,0
1683800040000,0
1683800160000,0
1683800280000,0
1683800400000,0
1683800520000,0
1683800640000,0
1683800760000,0
1683800880000,0
1683801000000,0
1683801120000,0
1683801240000,0
1683801360000,0
1683801480000,0
1683801600000,0
1683801720000,0
1683801840000,0
1683801960000,0
1683802080000,0
1683802200000,0
1683802320000,0
1683802440000,0
1683802560000,0
1683802680000,0
1683802800000,0
1683802920000,0
1683803040000,0
1683803160000,0
1683803280000,0
1683803400000,0
1683803520000,0
1683803640000,0
1683803760000,0
1683803880000,0
1683804000000,0
1683804120000,0
1683804240000,0
1683804360000,0
1683804480000,0
1683804600000,0
1683804720000,0
1683804840000,0
1683804960000,0
1683805080000,0
1683805200000,0
1683805320000,0
1683805440000,0
1683805560000,0
1683805680000,0
1683805800000,0
1683805920000,0
1683806040000,0
1683806160000,0
1683806280000,0
1683806400000,0
1683806520000,0
1683806640000,0
1683806760000,0
1683806880000,0
1683807000000,0
1683807120000,0
1683807240000,0
1683807360000,0
1683807480000,0
1683807600000,0
1683807720000,0
1683807840000,0
1683807960000,0
1683808080000,0
1683808200000,0
1683808320000,0
1683808440000,0
1683808560000,0
1683808680000,0
1683808800000,0
1683808920000,0
1683809040000,0
1683809160000,0
1683809280000,0
1683809400000,0
1683809520000,0
1683809640000,0
1683809760000,0
1683809880000,0
1683810000000,0
1683810120000,0
1683810240000,0
1683810360000,0
1683810480000,0

